term_id,term,regex,term_family,source_basis,equity_financing_access_signal,financing_disclosure_context_signal,general_financing_disclosure_scope,nonfinancing_compensation_accounting_exclusion
term_0312_ec722fa4,\bissuances? of common stock\b,\bissuances? of common stock\b,Equity securities and offerings,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0316_c4d9a435,\bissuing common stock\b,\bissuing common stock\b,Equity securities and offerings,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0317_2129e411,\bissuing equity securities\b,\bissuing equity securities\b,Equity securities and offerings,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0359_9db5a0c1,\boffering equity securities\b,\boffering equity securities\b,Equity securities and offerings,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0369_fde869f6,\bplanned equity offering\b,\bplanned equity offering\b,Equity securities and offerings,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0374_b8e003ca,"\bprivate placements?.{0,80}\b(?:common stock|equity securities|equity|stock)\b","\bprivate placements?.{0,80}\b(?:common stock|equity securities|equity|stock)\b",Equity securities and offerings,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0377_4ae3c27a,\bpublic offering of (?:common stock|equity securities)\b,\bpublic offering of (?:common stock|equity securities)\b,Equity securities and offerings,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0381_c36c4ec0,\bpursue equity offering\b,\bpursue equity offering\b,Equity securities and offerings,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0384_bc99858f,\brais(?:e|es|ed|ing) equity\b,\brais(?:e|es|ed|ing) equity\b,Equity financing and market access,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0391_1ae00a35,\braise equity offering\b,\braise equity offering\b,Equity securities and offerings,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0394_e12a1b81,\braised equity arrangements\b,\braised equity arrangements\b,Equity financing and market access,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0395_dba42ab7,\braises equity capital\b,\braises equity capital\b,External financing and capital access,SEC MD&A external-liquidity/source-of-funds rationale and SEC comment-letter usage,1,0,0,0
term_0400_55e92e85,\bregistered offering of (?:common stock|equity securities)\b,\bregistered offering of (?:common stock|equity securities)\b,Equity securities and offerings,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0406_8816a6d2,\bsale of common stock\b,\bsale of common stock\b,Equity securities and offerings,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0409_6d3ff52c,\bsales of common stock\b,\bsales of common stock\b,Equity securities and offerings,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0413_f9b7a9ff,\bseek equity financing\b,\bseek equity financing\b,Equity financing and market access,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0415_b0dc3ec6,\bseek equity financings\b,\bseek equity financings\b,Equity financing and market access,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0416_be103e74,\bseek equity investments\b,\bseek equity investments\b,Equity financing and market access,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0417_a9e47354,\bseek equity offering\b,\bseek equity offering\b,Equity securities and offerings,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0418_5c8043a3,\bsell common stock\b,\bsell common stock\b,Equity securities and offerings,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0422_b51da9b4,\bselling common stock\b,\bselling common stock\b,Equity securities and offerings,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0439_dd8c6125,\bsources equity financing\b,\bsources equity financing\b,Equity financing and market access,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0440_5b7a45f9,\bsources equity offering\b,\bsources equity offering\b,Equity securities and offerings,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0447_85542d5a,\bstock issuance\b,\bstock issuance\b,Equity securities and offerings,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0453_240cc730,\bthrough equity financing\b,\bthrough equity financing\b,Equity financing and market access,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0458_fcbe3ad8,\bundertake equity offerings\b,\bundertake equity offerings\b,Equity securities and offerings,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0462_23ecaae6,\buse equity offerings\b,\buse equity offerings\b,Equity securities and offerings,SEC securities/offering disclosure language and SEC comment-letter usage,1,0,0,0
term_0302_d73b27fc,\binability to (?:raise|obtain|access|secure|fund|finance)\b,\binability to (?:raise|obtain|access|secure|fund|finance)\b,Financial constraint and going-concern context,SEC comment-letter usage for financing stress and going-concern disclosure contexts,0,1,1,0
term_0343_7f2c3f60,\bmay not be able to (?:raise|obtain|access|secure|fund|finance)\b,\bmay not be able to (?:raise|obtain|access|secure|fund|finance)\b,Financial constraint and going-concern context,SEC comment-letter usage for financing stress and going-concern disclosure contexts,0,1,1,0
